title,speaker,description,CE_Credits,urllink,Category,format,Cost,educationalObjectives,Source,releaseDate
Bio-Minimalism: Trends and Transitions in Endodontics,Dr. Martin Trope and Dr. Kenneth Serota,"This article is an overview of the essentials that accept that the endorestorative continuum is not a concept. Rather, it is a de facto treatment approach. “Clean, shape and pack,” with hindsight, should have been “shape, clean and pack”—but even that was a somewhat simplistic approach. Debridement, disinfection and microstructural replication due to the introduction of adaptive bioceramic technologies for root filling are increasingly being recognized as the standard for optimal endodontic therapy.",1.5,https://www.dentaltown.com/onlinece/details/666/bio-minimalism-trends-and-transitions-in-endodontics,Endodontics,PDF, $36,"To have a better understanding of the dynamic changes in mainstream endodontic instrumentation.
To have a better understanding of latest and most advanced obturation techniques.
To understand the synergism between the endodontic and restorative continuum of tooth rehabilitation.
To dispel the myths of past “concepts” and evaluate the shifts in treatment protocols with better evidentiary understanding.",Dentaltown,4/1/2016
Material Classification and Shade Selection Protocol for All-Ceramic Restorations,"Arthur R. Volker, DDS, MSEd","With the myriad options available to the clinician, selecting the appropriate ceramic material for a restoration can be a daunting task. This article seeks to simplify the selection protocol by classifying the materials as either glass ceramics or oxide ceramics. The physical and optical properties of these materials will also be discussed.

Additionally, when using certain materials, there are several variables that will affect the final shade of the restoration. These factors will be discussed and clinical examples will illustrate how to best optimize prosthetic results.",1.5,https://www.dentaltown.com/onlinece/details/667/material-classification-and-shade-selection-protocol-for-all-ceramic-restorations,Restorative Dentistry,PDF, $36,"Recognize how to select the appropriate ceramic restoration based on material properties.
Understand the differences between glass and oxide ceramics.
Gain familiarity with the variables that affect the final shade of the ceramic restoration, including material translucency and opacity.",Dentaltown,4/1/2016
"The Keys to Successful, Predictable, and Efficient Direct Composite Restorations. Filmed LIVE at Townie Meeting!","Dr. Nicholas Conte, Jr.","Direct composite restorations are among the most frequently performed restorative procedures, yet dentists often struggle with placement techniques, options for consistently generating ideal interproximal contact and postoperative sensitivity. This presentation will discuss how each element will play a critical role in the professional’s decision-making process when determining which materials, systems and techniques are best to utilize when doing direct composite restorations.",2,https://www.dentaltown.com/onlinece/details/572/the-keys-to-successful-predictable-and-efficient-direct-composite-restorations-filmed-live-at-townie-meeting,Restorative Dentistry,Video, $36,"Learn indications for anterior and posterior direct composites.
Learn polishing and sealing techniques for long term durability.
Improve their understanding of adhesion, current products and their function in modern day dentistry.
Learn techniques and tips for handling and placement of modern composites.",Dentaltown,3/23/2016
Aesthetic Criteria,Dr. Jan Hajtó,"Structured Smile Design approaches are becoming more and more common and popular. While explaining these principles Jan Hajtó gives several practical tips and tricks. The main challenge in daily practice is to achieve a result that reflects the individuality and personality of the patient and does not violate aesthetic criteria in a way that our work appears unnatural. This course provides a comprehensive overview on the main relevant aesthetic parameters that dentists and dental technicians should take into consideration, when planning and designing a new smile.",2,https://www.dentaltown.com/onlinece/details/600/aesthetic-criteria,Cosmetic Dentistry,Video, $36,"a) have an understanding of the most important aesthetic parameters
b) have learned about a systematic approach for aesthetic analysis
c) be able to apply these criteria to clinical cases from simple to challenging.
d) understand the importance of digital photography in aesthetic dentistry
e) learn about the relationship of overall harmony and the application of rules in smile design",Dentaltown,3/16/2016
Posterior Composites: A Practical Guide. Filmed LIVE at Townie Meeting!,Dr. Louis Mackenzie,"This course provides practical tips for all aspects of direct composite resin restorations including: case selection for direct composite restorations, minimally invasive cavity preparation, moisture control and adhesive techniques, contemporary matrix techniques, and more.",2,https://www.dentaltown.com/onlinece/details/574/posterior-composites-a-practical-guide-filmed-live-at-townie-meeting,Restorative Dentistry,Video, $36,"To outline the worldwide teaching principles relating to posterior composite restorations.
To provide an update of the contemporary indications for posterior composites.
To provide an overview of the latest equipment, materials and clinical techniques available when restoring posterior teeth with direct composite restorations",Dentaltown,3/9/2016
An Observation on the Superiority of Articaine versus Lidocaine in Dental Anesthesia,"Fabio Velotti, M.Sc. Eng Bernardo Verrengia, C. Chem MRSC Deborah S. Laird, BS Pharm, RPh","This course is designed to educate the dental-health professional regarding the potential superiority of articaine 4 percent in relation to lidocaine 2 percent in dental anesthesia.

It is also intended to illustrate the differences between these products regarding their chemistry, pharmacology, metabolism and use.",1.5,https://www.dentaltown.com/onlinece/details/635/an-observation-on-the-superiority-of-articaine-versus-lidocaine-in-dental-anesthesia,Anesthesia and Pain Management,PDF, $36,"Appreciate the history of these compounds' development in dental anesthesia.
Gain insight into the safety and ef? cacy of articaine and lidocaine.
Consider the best choice of anesthetic for complicated dental procedures.
Understand the use of articaine and lidocaine in children and geriatric patients.
Understand, in detail, articaine and lidocaine's main characteristics when used in the clinic.",Dentaltown,3/1/2016
Understanding Occlusion,Dr. John Nosti,"Occlusion remains one of the most confusing topics in dentistry today due to seemingly different opinions on the importance of dictating restorative positions on each and every patient. To compound this issue restorative failures still occur despite meeting the “occlusal philosophies” of these camps teaching strict occlusal restorative positions.
Join Dr. John Nosti as he defines occlusion, simplifies common occlusion terminology, and reviews when restorative positions should and should not be used. If you have ever been confused between Centric Relation, Centric Occlusion, and Maximum intercuspation; if you have always wanted to know if posterior interferences truly play a role in occlusal stability; If you have ever wondered “do I really need to fit every single patient into the same occlusal restorative position?”; or if you have wanted to learn a predictable way to take a centric relation bite registration or an increased vertical bite registration… this course is for you! Learn when occlusion truly matters!",1.5,https://www.dentaltown.com/onlinece/details/629/understanding-occlusion,TMJ and Occlusion,Video, $36,"Define occlusion and differences between Centric Relation, Maximum intercuspation and Centric Occlusion.
Discuss the relationship between occlusal stability and successful restorative dentistry
Describe different philosophies on obtaining proper occlusion.
Review signs and symptoms that may be hallmarks of occlusal instability and treatment
Review the determinants of a stable occlusion.
Discuss the factors that impact occlusal stability.
Describe when and why to alter occlusion.
Demonstrate taking a centric relation bite registration two different ways.",Dentaltown,2/24/2016
Oral and Dental Sequelae of Cancer Therapy,"Lauren Levi, DMD","As one of the leading causes of death in the United States, cancer is devastating disease that affects everyone. Unfortunately, though cancer therapy, such as chemotherapy and radiation treatment, saves many lives, it is often associated with several sequelae including oral and dental sequelae. How do we treat these manifestations? When is it appropriate or safe to conduct dental treatment on patients undergoing cancer therapy?
This course focuses on the dental and oral manifestations of chemotherapy, radiation therapy, and/or head and neck surgery and management of these conditions. It also reviews the ideal time to treat patients while they are undergoing cancer therapy.",1.5,https://www.dentaltown.com/onlinece/details/613/oral-and-dental-sequelae-of-cancer-therapy,"Oral Pathology, Pharmacology, and Cariology",Video, $36,"Define what osteoradionecrosis of the jaw is and how to manage it
Identify what specific blood counts are safe for dental treatment
Identify the oral sequelae of head and neck radiation therapy and chemotherapy
Propose treatment options to address these sequelae",Dentaltown,2/17/2016
"Cone Beam Imaging is Great, But What Am I Looking At? Filmed LIVE at Townie Meeting!",Dr. Dale Miles,"As dentists we use imaging every day in our offices to help refine our clinical treatment decisions. Now there’s an amazing, low-cost, effective CT modality for dentistry. But do you understand it? Dr. Miles presents principles and applications of dentistry’s newest and most advanced imaging technology: cone beam. He reviews CBCT images like you’ve never seen before. This course will build your confidence for reviewing your cone beam data sets. Come see what you may have been missing.",2,https://www.dentaltown.com/onlinece/details/576/cone-beam-imaging-is-great-but-what-am-i-looking-at-filmed-live-at-townie-meeting,"Imaging, CBCT, and Radiography",Video, $36,"Learn how to review the image data sets you take or receive.
Understand the importance of reviewing ALL of the slice data.
Visualize pathology in 2D and 3D.",Dentaltown,2/10/2016
From Extraction to Prosthetic Restoration. A Comprehensive Approach.,Dr. Thanos Ntounis,"This presentation highlights the surgical and restorative techniques to accomplish predictable outcomes in the esthetic zone with implant therapy. Treatment modalities are demonstrated with high quality photography and case series discussion. Surgical modalities presented include ridge preservation and immediate implant placement as well as soft and hard tissue augmentation. Special emphasis is placed on immediate provisionalization of implants to accomplish optimal peri-implant mucosa architecture. Techniques to transfer provisional emergence profile to the final restoration are presented. Additionally, critical elements of restorative treatment and material choice are discussed. An additional aspect of the course focuses on full arch prostheses and treatment planning considerations.",2,https://www.dentaltown.com/onlinece/details/614/from-extraction-to-prosthetic-restoration-a-comprehensive-approach,Implant Dentistry,Video, $36,"1. Be informed on ridge preservation and post-surgical ridge augmentation modalities
2. Select proper timing for Implant placement and select evidenced-based implantation modalities
3. Be informed on soft and hard tissue enhancement possibilities with grafting.
4. Identify proper cases for immediate provisionalization and tissue shaping
5. Perform emergence profile transfer from provisional to final restoration
6. Be familiar with abutment design considerations
7. Achieve a solid basis for treatment planning full- arch cases.",Dentaltown,2/3/2016
Oral Diseases Associated with Women,"Deborah Levin-Goldstein, RDH","This course is the first in a series of oral pathology presentations emphasizing common diseases prevalent among women, men, and children. For this course, the focus will be on three oral diseases—Sjögren’s syndrome, systemic lupus erythematosus (SLE), and burning mouth syndrome (BMS)—that are more common in women and associated with unpleasant taste and pain in the tongue. The etiologies, clinical manifestations, symptoms and treatment options for these diseases will be emphasized.",1.5,https://www.dentaltown.com/onlinece/details/628/oral-diseases-associated-with-women,"Oral Pathology, Pharmacology, and Cariology",PDF, $36,"Describe the etiology of autoimmune diseases.
Describe the etiology, clinical manifestations, symptoms and treatment options for patients with Sjögren's syndrome.
Describe the etiology, clinical manifestations, symptoms and treatment options for patients with systemic lupus erythematosus.
Describe the etiology, clinical manifestations, symptoms and treatment options for patients with burning mouth syndrome.
Describe the common characteristics shared by these three diseases.",Dentaltown,2/1/2016
The Impact of 3D Imaging on Clinical Results and Patient Care. Filmed LIVE at Townie Meeting!,Dr. Neal Patel,"Learn how 3D cone beam imaging works, the process of practice implementation, interpreting 3D radiographs, facets of dentistry impacted by 3D imaging, integration of cone beam imaging and CAD/CAM and the future applications of 3D imaging. Changes in practice management, clinical cases and patient experience are all discussed in this CE course. For a limited time, the next 100 people that sign up for this course will have no charge due to the genorousity of i-CAT FLX V-Series 3D Imaging Solution.",2,https://www.dentaltown.com/onlinece/details/570/the-impact-of-3d-imaging-on-clinical-results-and-patient-care-filmed-live-at-townie-meeting,"Imaging, CBCT, and Radiography",Video, $36,"Understand diagnostic capabilities of 3D imaging in dentistry.
Understand implant case planning and surgical guide process.
Understand the process of combining cone beam and CAD/CAM and clinical benefi ts.",Dentaltown,1/27/2016
Evidence Based Shade Communication in Restorative Dentistry,"Mark T. Murphy, DDS, FAGD","Discussed in this CE course is the historical development of shade determination and how the paradigm of shade taking has been embedded into our behavior over the last 50 years. Examine and apply a newer evidence based approach which will help SEE, SPEAK and APPLY a better understanding of color and shade using the latest technologies and traditional methods.",1.5,https://www.dentaltown.com/onlinece/details/604/evidence-based-shade-communication-in-restorative-dentistry,Restorative Dentistry,Video, $36,"Survey color, color perception and other influencing factors
Understand how the eye sees and we speak about color and shade
Understand an evidence based approach protocol for taking shade
Discuss digital and analog methodologies
Communicate more clearly with your lab and assure your patients a higher degree of satisfaction.",Dentaltown,1/13/2016
Use of Guided Bone Regeneration in a Dental Practice.,Dr. Kris Chmielewski,"Guided Bone Regeneration is an important part of modern dental implantology and requires skills in application of the specific materials. More importantly is knowledge needed about the behavior of various materials and indications for application in individual cases.
The majority of the materials used in the bone regeneration procedures have osteoconductive properties but with the help of natural growth factors we can improve their potential of healing with osteoinductive features.
Cases are presented and included are explanations of the biological principles which will help you better understand Guided Bone Regeneration. At the end of this course, one will have a better understanding on how to incorporate GBR into one's dental practice.",1.5,https://www.dentaltown.com/onlinece/details/612/use-of-guided-bone-regeneration-in-a-dental-practice,Implant Dentistry,Video, $36,"Differentiate and understand bone healing phases
Understand the difference in behavior of different biomaterials
What types of biological activities related to the biomaterials
Understand the application of the platelet rich fibrin
Understand the influence of tension for wound healing and how to control it
View cases with application of presented knowledge",Dentaltown,1/6/2016
Indirect Posterior Composite Restorations,Dr. Samir Karimov,"Indirect posterior composite restorations have brought about a wonderful age where ideal form, marginal adaption, and proximal contact and contour are all achievable goals.

The use of post-cure heat, however, has remained ineffective in enhancing the clinical performance of these restorations. As new curing techniques and technologies develop, indirect posterior composite restorations continue to see improvement and promise, both in their mechanical characteristics and the longevity of their clinical performances.",1.5,https://www.dentaltown.com/onlinece/details/619/indirect-posterior-composite-restorations,Restorative Dentistry,PDF, $36,"Understand the advancements that composite materials have made over the years.
Discuss the benefits of newer generation indirect composites.
Review a case presentation involving indirect composite techniques.
Discuss the clinical and the esthetic benefits of modern-day alloy-free restorations.
Reinforce the importance of quality preparation work in order to achieve exceptional outcomes.",Dentaltown,1/1/2016
Hygiene – The Low Hanging Fruit of Restorative Dentistry,Dr. Mac Lee,"The biggest problem in dentistry is that our market does not understand the value of our services. Many patients feel they are being sold to when the dentists/hygienist are simply doing their job via the diagnosis/treatment plan ritual. The dental team understands but the patients don’t. Dentistry is very frustrating when patients do not accept needed work. Most dentist and hygienist have Approval Addiction meaning they are wanting to please the patient which stands in the way of telling the patient the truth. If every patient accepted all needed dentistry, how busy would you be? If your patients understood the need for the dentistry as well as you do, what would your acceptance ratio be? Dentist and team tend to confuse patient more than they educate them in terms the patients understand. This program gives your hygienist, dentist and team the verbal skills necessary for high treatment acceptance.",1.5,https://www.dentaltown.com/onlinece/details/596/hygiene-the-low-hanging-fruit-of-restorative-dentistry,"Practice Management, HR and Accounting",Video, $36,"An introduction of a business model which allows the dentist to be producing while the team are educating and putting needed work on the books.
Put an extra $100,000 or more of needed dentistry a year through the hygiene department
Dentist and team to learn to speak in patients terms so there is never any confusion
Overcome Approval Addiction, an affliction in every dental practice that keeps doctor and team from telling the patients the total picture of their dental health.
A technique for the patient to not only understand their dental needs but to also take ownership
An introduction of a system of communication that builds believability, trust and understanding",Dentaltown,12/30/2015
Dental Marketing Update —Howie & Mark Unplugged. Filmed LIVE at Townie Meeting!,Mark Dilatush and Howie Horrocks,"In the world of effective promotion of dentistry, you have to stay current to squeeze as much as you can from your promotion budget. Howie and Mark have been testing what works and what doesn’t work for more than 25 years. They share their updated knowledge with the audience, along with providing updated tools to use as you develop the promotion for your own practice.",2,https://www.dentaltown.com/onlinece/details/567/dental-marketing-update-howie-mark-unplugged-filmed-live-at-townie-meeting,Marketing,Video, $36,"Learn where, which media types, which order, and in what volumes to best invest their marketing budgets.
Be provided updated tools, which can be used to guide whoever is developing attendee practice promotion.
Uncover/discuss new opportunities and traps that have evolved over the last three years.
Take part in 30 minutes of opinions with audience participation, in response to the most discussed marketing/ practice management topics on the Dentaltown message boards over the past three years.",Dentaltown,12/23/2015
Nuts and Bolts Treatment Planning: The Triad of Success. Filmed LIVE at Townie Meeting!,Dr. Michael Melkers,"As comprehensive practitioners, we strive to deliver the very best that we can for our patients. Too many times, it seems that our best training fails to follow through to the patient committing to treatment. In this lecture, we explore the triad of progressing with our patients to treatment success. We also explore foundational knowledge as well as actual case application as we blend the concepts of communication, treatment planning and occlusion into restorative success.",2,https://www.dentaltown.com/onlinece/details/573/nuts-and-bolts-treatment-planning-the-triad-of-success-filmed-live-at-townie-meeting,Restorative Dentistry,Video, $36,"Communication—beginning with listening for case focus and acceptance.
Occlusion—bringing the pieces together for treatment success and longevity.
Treatment Planning—based on our patients` treatment goals that they communicate to us.",Dentaltown,12/16/2015
Your Retirement Number in Two Hours. Filmed LIVE at Townie Meeting!,Dr. Doug Carlsen,"Know once and for all when you can retire! The main word used by those attending or viewing this course is “relief.” In this course you figure out your retirement number. Via worksheets (which one should print first...link is on course page), you will find a simple method to calculate your retirement budget, total savings needed for retirement and savings needed per year.
Then discussed is one's financial life. You will fill out financial forms without actual figures. At the end of this course, one has a better idea on how well one is doing on the road to retirement.",2,https://www.dentaltown.com/onlinece/details/564/your-retirement-number-in-two-hours-filmed-live-at-townie-meeting,Financial Planning and Investments,Video, $36,"Calculate a retirement budget and know the total amount of savings needed to retire at a given age
Have reduced financial stress at the office, providing better treatment outcomes for patients.
Know how much savings is needed per year to retire at a given age
Have a more concise understanding of their personal financial situation",Dentaltown,12/9/2015
Simplifying Full-mouth Implant Reconstructions. Filmed LIVE at Townie Meeting!,Dr. Ara Nazarian,"According to the literature, the increased need and use of implant-related treatments result from the combined effect of several factors, including aging population, tooth loss related to age, consequences of fixed prostheses failure, and anatomical consequences of edentulism. Dental providers can meet this need effectively and efficiently if they have a systematic approach when treating these patients. Dr. Nazarian highlights the techniques and materials used when delivering full-mouth implant reconstructions, from A-Z!",2,https://www.dentaltown.com/onlinece/details/568/simplifying-full-mouth-implant-reconstructions-filmed-live-at-townie-meeting,Implant Dentistry,Video, $36,"View a case presentation that works in any economy.
Immediate full arch temporization.
Learn a 3D visual treatment planning for the best outcomes.
Learn the dynamics of simple implant placement and restoration.",Dentaltown,12/2/2015
Radix Entomolaris: Treatment of a Mandibular First Molar with Distolingual Root,"Andrés Villanueva Ortiz, DDS, and Juan Carlos Lema Rama, DDS",Mandibular molars may present anatomical variations such as an additional distal root (Radix Entomolaris). This report discusses the diagnosis and root-canal treatment of a mandibular first molar with Radix Entomolaris.,1.5,https://www.dentaltown.com/onlinece/details/615/radix-entomolaris-treatment-of-a-mandibular-first-molar-with-distolingual-root,Endodontics,PDF, $36,"Identify Radix Entomolaris and Radix Paramolaris
Understand the genetic occurrences of Radix Entomolaris
Learn how to treat for Radix Entomolaris",Dentaltown,12/1/2015
Success with All Ceramic Restorations,Dr. Jan Hajtó,"For the clinician today there is a large range of all ceramic materials from which to choose. In some situations, only certain dental ceramics can be used with some materials being optimized for special purposes. It is important not only for the dental technician, but also for the dentist to know the specific properties, advantages and disadvantages of all ceramic restorative materials in order to achieve the best possible success rates, as ceramic materials are inherently prone to fracture due to their brittleness. In this lecture the various indications where dental ceramics can be used are explained and appropriate material options presented. Special attention is directed to the difference between the anterior region, which can be regarded as a low risk region, and the posterior region which demands special consideration, due to the higher occlusal forces, found on molars and premolars.",2,https://www.dentaltown.com/onlinece/details/601/success-with-all-ceramic-restorations,Cosmetic Dentistry,Video, $36,"Have an overview over various allceramic material classes and products.
Understand specific advantages and disadavantages of certain materials
Been presented indication- and material-combinations which should be avoided.
Been provided clinical advice in the application of allceramic restorations.
Be able to chose materials for certain indications that are more likely to be successful than others.",Dentaltown,11/25/2015
Understanding the Yes and No in Treatment Acceptance. Filmed LIVE at Townie Meeting!,Dr. Bruce Baird,"It’s critical for dentists to learn to help patients say yes to treatment. It’s equally important to understand why they say no and to have an appropriate POF (payment options form) to help them say yes. As dentists, we must understand the proper verbal skills to seamlessly connect with our patients. By learning these verbal skills, you’re able to gain the patient’s blessing to discuss any and all problems in their mouth. The first 100 U.S. / Canadian dentists can view and receive credits free thanks to the generosity of the KavoKerr Group.",2,https://www.dentaltown.com/onlinece/details/577/understanding-the-yes-and-no-in-treatment-acceptance-filmed-live-at-townie-meeting,"Practice Management, HR and Accounting",Video, $36,"Verbal skills to allow you to present comprehensive treatment.
How to present treatment for maximum eff ectiveness.
The reasons patients say no to treatment and how to change their response to yes.
The three key components to a POF that takes the pressure off your team.",Dentaltown,11/18/2015
Short Implants; Does Size Really Matter?,Dr. Bill Schaeffer,"In our daily implant practices we are often confronted with patients who meet the ideal criteria for implant treatment, but have a limited height of bone. Bone grafting may partially solve this issue, but bone grafting can be expensive, time-consuming, is always uncomfortable for the patient and can involve inherent risks. The use of short dental implants can often avoid the problems associated with bone grafts - but can it really be that simple? This course will show you the how's and why's of short implants.",2,https://www.dentaltown.com/onlinece/details/591/short-implants-does-size-really-matter,Implant Dentistry,Video, $36,"Be able to define what a short implant is
Understand why dental implants have been getting shorter over the years
Understand the alternatives to using short implants, along with their pros and cons
Appreciate when when short implants can be used safely, and when NOT to use a short implant
Be able to discuss the current evidence for using short implants, both for and against
Understand why crown:implant ratio does not affect implants in the same way as teeth
Understand why a longer implant may not be a better implant after crestal bone loss
Understand the relationship between bone loading and bone loss and know whether using a short implant will lead to crestal bone loss over time",Dentaltown,11/11/2015
Practical Grafting Techniques for the General Practitioner,Dr. Tim Kosinski,"In this course, attendees will review of over 300 clinical images and illustrations demonstrating step-by-step practical techniques to achieve predictable grafting results, real time clinical video showing techniques discussed, easy to follow clinical instructions on what materials and instrumentation to use for grafting to have predictable results with your patients, and why grafting is important for your patients and how to easily explain such procedures to your patients during treatment planning discussions. Everyone can, and should be, offering practical grafting procedures to their patients and this course will teach you the basics to get started.",1.5,https://www.dentaltown.com/onlinece/details/579/practical-grafting-techniques-for-the-general-practitioner,Oral and Maxillofacial Surgery,Video, $36,"Treatment Planning
Socket Preservation, the How and Why?
Bone Physiology and Bone Healing
Classification of Bone Defects
Atraumatic Tooth Extraction Techniques & Why Important
Overview of the Proper Instrumentation
Allografts vs. Autografts vs. Xenografts
Proper Use of Resorbable/Nonresorbable Barriers",Dentaltown,11/3/2015
The Clinical Algorithms of Rehabilitation,"Boyana Byanova, DMD","Contemporary aesthetic dentistry has been catalyzed by the adhesion era. The ability to use tooth-colored direct and indirect resins and ceramic-based materials was fully realized as dentin and enamel adhesives were developed and their clinical performance optimized. It may appear that adhesion is a simplistic procedure— a film with which to coat the tooth. In reality, the multifactorial interplay of chemicals with the diverse molecular structures of dentin and enamel and the reconstructive resin materials is a physical interplay of balanced forces.

The attention to detail and the exquisite clinical expertise required for obtaining the ultimate performance from a bonding system and a restoration is a demanding experience.",1.5,https://www.dentaltown.com/onlinece/details/609/the-clinical-algorithms-of-rehabilitation,Restorative Dentistry,PDF, $36,"Identify the steps necessary to rehabilitate a severely damaged tooth.
Recognize when immediate dentin sealing (IDS) is needed.
Identify the benefits of indirect restoration.",Dentaltown,11/1/2015
Fundamentals of Fixed Prosthodontics,Dr. Lane Ochi,"The long-awaited masterpiece by Townie superstar Lane Ochi is now on Dentaltown! We cannot afford failures in our treatment.When we combine the narratives ""art and science"", one must think of the skill set necessary to fabricate predictable and long lasting indirect restorations. Successfully treating our patients with fixed prosthodontics mandates we have a comprehensive understanding of not only materials, but also a mastery of mechanical concepts and a healthy respect for the remaining tooth structure.
There is no other field in dentistry where real improvement in outcomes can be directly attributed to attention to detail and execution. Just as important as technical improvement, is developing an awareness of the interactions of all the choices we make; from preparation design, margin configuration, the use of a core build up or post, as well as our luting agent selection.
At the end of the day, we cannot afford failures in our treatment. Costs lost to time, remakes and loss of patient confidence are not something we strive for. After viewing this course, you will be able to identify the cause of failures so you can prevent them occurring.",2,https://www.dentaltown.com/onlinece/details/594/fundamentals-of-fixed-prosthodontics,Prosthodontics,Video, $36,"Understand the interaction between preparation design and luting agent selection to maximize retention.
Be able to evaluate un-retentive preparations and understand how to make structural modifications with the addition of the appropriately located resistance features to improve the retention.
Select the most ideal margin design for complete seating of an indirect restoration.
Have a set of decision points we can select from to try and determine the most predictable outcome in the selection of post and core design.
Understand the unique mechanics of an FPD and how our preparations and restorations can be modified to increase success.",Dentaltown,10/21/2015
Anterior Aesthetic Techniques and Materials. Filmed LIVE at Townie Meeting!,Dr. Lee Ann Brady,"This 3 hour course (with 3.5 CE credits) was Dr. Brady’s excellent CE presentation at the last Townie Meeting. In this course, one sees that accomplishing exquisite anterior restorative results is a combination of preparation technique and materials selection. This program presents an approach to plan margin placement and tooth reduction to accomplish the proposed tooth position, contour and color of the new restoration as well as assuring functional success. It is challenging to select from one of the many choices of aesthetic restorative materials that are available. Discussed is the aesthetic and functional parameters of each material to facilitate appropriate material selection. An efficient and effective process for streamlining tooth preparation is presented.",3.5,https://www.dentaltown.com/onlinece/details/565/anterior-aesthetic-techniques-and-materials-filmed-live-at-townie-meeting,Cosmetic Dentistry,Video, $36,"Gain a better understanding of anterior full coverage preparation design
Discussion of anterior materials
Discuss Provisionalization
Bonding and cementation discussion
.Ways of anterior partial coverage preparation design",Dentaltown,10/14/2015
Selective Root Retreatment: A Conservative Alternative,"William J. Nudera DDS, MS","Root canal retreatment is traditionally consider an “all or none” treatment approach. Meaning, all restorative and obturation material must be removed from the entire root canal space of all roots regardless of individual periapical health. In contrast, surgical endodontics is not viewed as an “all or none” approach. It is a generally accepted that only the diseased root(s) should be addressed via root end resection and root end filling. Knowledge gained from CBCT imaging has introduced a new reasonable treatment option for endodonticaly treated teeth presenting with post treatment disease. This new concept allows the clinician to make predictable treatment decisions based on the periapical status of an individual root(s) rather than make assumptions about the tooth as a whole. A “selective root retreatment” combines the approach of an orthograde retreatment with the selectivity of a retrograde surgical root resection. It is being suggested that retreatment could be limited to a single root or roots clearly demonstrating periapical pathology while leaving the root(s) with no visible or perceived pathology untouched.",1.5,https://www.dentaltown.com/onlinece/details/589/selective-root-retreatment-a-conservative-alternative,Endodontics,Video, $36,"Understand the current recommendations for root canal retreatment and associated risks.
Understand the conflict between the root canal retreatment model and the endodontic surgical model.
Understand a literature based rationale justifying a more conservative approach to endodontic retreatment.
Understand the importance of CBCT imaging when determining the presence or absence of periapical pathosis.
Use the CBCT image to create a guided precision slot access designed to selectively treat one or more roots of a multi-rooted tooth diagnosed with post treatment disease.",Dentaltown,10/7/2015
"Quick, Conservative and Highly Esthetic Treatment Planning for Severe Anterior Tooth Wear","Brent Engelberg, DDS","Severe tooth wear can lead to functional and esthetic complications. For young patients who desire a quick, conservative, and highly esthetic treatment plan, alternatives to orthodontics and invasive restorations are necessary. Using occlusal equilibration, very thin lithium disilicate veneers, and composite resin, this case presentation demonstrates a logical treatment plan that works well to ensure proper function, occlusion, and restoration of the patient’s esthetics.",1.5,https://www.dentaltown.com/onlinece/details/603/quick-conservative-and-highly-esthetic-treatment-planning-for-severe-anterior-tooth-wear,Restorative Dentistry,PDF, $36,"Describe the steps necessary for treatment of severe tooth wear.
Identify different types of tooth wear.
Explain the complications associated with tooth wear.",Dentaltown,10/1/2015
Realizing the Magic of Guided Surgery,Sheldon Lerner,"To some, ""Guided Surgery"" is a mixture of buzzwords, expensive tools, and tedious process flows. In this course Guided Surgery is shown as it is meant to be: tools that work for you, software that assists the implant planning process and surgical guides that improve the safety and accuracy of the implant placement. This course introduces the viewer to the simplicity of guided surgery. This course shows how to streamline the entire guided surgical process by giving full control to the user. The course demonstrates how software can be a platform allowing users to control the entire planning and guide fabrication process or to collaborate and benefit from the help of labs and / or other dental professionals.",1.5,https://www.dentaltown.com/onlinece/details/560/realizing-the-magic-of-guided-surgery,Implant Dentistry,Video, $36,"Understand the benefits of Computer Guided Surgery
View a CT scan in treatment planning software
Prepare a dental treatment plan
Import an intraoral scan or optical scan of a model
Prepare a model based surgical guide for computer guided surgery
Benefit from direct cut drill system",Dentaltown,9/23/2015
Orthodontics in the Multidisciplinary Treatment of Complex Cases,Dr. Miguel Hirschhaut,"Orthodontics sets up the foundation for future prosthetics in cases with periodontal, surgical and restorative dentistry requirements. Adult orthodontics simplifies complex clinical situations. Making it easier for restorative dentist to achieve better esthetic & functional results. Orthognathic surgery combined with orthodontics corrects skeletal discrepancies in order to have the patient ready for prosthodontic replacement of multiple missing teeth. We will illustrate through combined clinical cases the importance of orthodontics in setting up a proper occlusion prior to the restorative phase of treatment. Patients to be restored with implants will be shown to illustrate our protocol for combined orthodontic/prosthetic cases to restore form & function. This will further illustrate the importance of multidisciplinary dentistry to meet the goals for our patients of dentofacial total esthetics and masticatory function. Cases will show how orthodontics combines with distraction osteogenesis & conventional orthognathic surgery in severe dentofacial deformities. Orthodontics combined with other dental specialties produce an end result that guarantees long term periodontal health and produces patient´s satisfaction with his or her dentofacial esthetics.",2,https://www.dentaltown.com/onlinece/details/563/orthodontics-in-the-multidisciplinary-treatment-of-complex-cases,Orthodontics,Video, $36,"Participant will learn the importance of team dentistry to obtain dentofacial esthetics & optimal occlusal function
Participant will learn that orthodontics sets up the case for future prosthetics.
Participant will learn that orthodontics corrects the dental component of the malocclusion & orthognatic surgery corrects the skeletal components of the malocclusion in preparation for restorative dentistry
Participant will learn that 3D corrections are key in combined surgical orthodontics of dentofacial deformities.
Participant will learn the importance of pre-prosthetic combined surgical orthodontics for managing dentofacial deformities.",Dentaltown,9/9/2015
